"pid","filename","type","year","month","commits","mdegree","mdegree2","mbetween","mbetween2","mclose","mclose2","mweight","diameter","networksize","networksize2","age","density","connect"
16035,"OssMMNet2004_5_16035.net","MM",2004,5,1228,4.667,21.778,0.666667,0.444444888889,0.201291,0.040518066681,2.57143,2,12,144,37,0.424242,0.545455
16035,"OssMMNet2004_6_16035.net","MM",2004,6,221,6,36,0.75,0.5625,0.277935,0.077247864225,2.55556,2,12,144,38,0.545455,0.681818
16035,"OssMMNet2004_7_16035.net","MM",2004,7,63,5.667,32.111,0.916667,0.840278388889,0.275061,0.075658553721,2.47059,2,12,144,39,0.515152,0.681818
16035,"OssMMNet2004_8_16035.net","MM",2004,8,353,5.667,32.111,0.916667,0.840278388889,0.275061,0.075658553721,2.47059,2,12,144,40,0.515152,0.681818
16035,"OssMMNet2004_9_16035.net","MM",2004,9,982,6.167,38.028,0.666667,0.444444888889,0.27943,0.0780811249,2.54054,2,12,144,41,0.560606,0.681818
16035,"OssMMNet2004_10_16035.net","MM",2004,10,5096,7,49,1.08333,1.1736038889,0.42433,0.1800559489,2.61905,2,12,144,42,0.636364,0.833333
16035,"OssMMNet2004_11_16035.net","MM",2004,11,3706,7.818,61.124,0.181818,0.033057785124,0.454349,0.206433013801,3.32558,2,11,121,43,0.781818,0.818182
16035,"OssMMNet2004_12_16035.net","MM",2004,12,850,7.636,58.314,0.272727,0.074380016529,0.450388,0.202849350544,3.35714,2,11,121,44,0.763636,0.818182
16035,"OssMMNet2005_1_16035.net","MM",2005,1,823,7.636,58.314,0.272727,0.074380016529,0.450388,0.202849350544,3.21429,2,11,121,45,0.763636,0.818182
16035,"OssMMNet2005_2_16035.net","MM",2005,2,564,7.091,50.281,0.545455,0.297521157025,0.439333,0.193013484889,3.02564,2,11,121,46,0.709091,0.818182
16035,"OssMMNet2005_3_16035.net","MM",2005,3,312,6.909,47.736,0.636364,0.404959140496,0.435874,0.189986143876,3,2,11,121,47,0.690909,0.818182
16035,"OssMMNet2005_4_16035.net","MM",2005,4,1419,7.2,51.84,0,0,0.46,0.2116,3.02778,1,10,100,48,0.8,0.8
16035,"OssMMNet2005_5_16035.net","MM",2005,5,278,7.2,51.84,0,0,0.46,0.2116,3.02778,1,10,100,49,0.8,0.8
16035,"OssMMNet2005_6_16035.net","MM",2005,6,666,7.2,51.84,0,0,0.46,0.2116,2.80556,1,10,100,50,0.8,0.8
16035,"OssMMNet2005_7_16035.net","MM",2005,7,1503,8,64,0,0,1,1,2.80556,1,9,81,51,1,1
16035,"OssMMNet2005_8_16035.net","MM",2005,8,1241,6.444,41.531,0.777778,0.604938617284,0.861728,0.742575145984,2.96552,2,9,81,52,0.805556,1
16035,"OssMMNet2005_9_16035.net","MM",2005,9,1858,5.8,33.64,0.7,0.49,0.427579,0.182823801241,2.96552,2,10,100,53,0.644444,0.8
16098,"OssMMNet2003_12_16098.net","MM",2003,12,731,8.25,68.062,0,0,0.165625,0.027431640625,2,1,16,256,1,0.55,0.55
16098,"OssMMNet2004_1_16098.net","MM",2004,1,104,7.765,60.291,0,0,0.134948,0.018210962704,2,1,17,289,2,0.485294,0.485294
16098,"OssMMNet2004_2_16098.net","MM",2004,2,125,7.333,53.778,0,0,0.113757,0.012940655049,2,1,18,324,3,0.431373,0.431373
16098,"OssMMNet2004_3_16098.net","MM",2004,3,230,6.6,43.56,0,0,0.0866667,0.00751111688889,2,1,20,400,4,0.347368,0.347368
16098,"OssMMNet2004_4_16098.net","MM",2004,4,294,6.6,43.56,0,0,0.0866667,0.00751111688889,2,1,20,400,5,0.347368,0.347368
16098,"OssMMNet2004_5_16098.net","MM",2004,5,38,0.706,0.498,0,0,0.0617894,0.00381792995236,2,1,17,289,6,0.0441176,0.0441176
