"pid","filename","type","year","month","commits","mdegree","mdegree2","mbetween","mbetween2","mclose","mclose2","mweight","diameter","networksize","networksize2","age","density","connect"
11996,"OssPPNet2004_7_11996.net","PP",2004,7,36,4.286,18.367,0,0,0.44898,0.2015830404,1.66667,1,7,49,7,0.714286,0.714286
11996,"OssPPNet2004_8_11996.net","PP",2004,8,126,4.286,18.367,0,0,0.44898,0.2015830404,1.66667,1,7,49,8,0.714286,0.714286
11996,"OssPPNet2004_9_11996.net","PP",2004,9,92,5.75,33.062,0.625,0.390625,0.869792,0.756538123264,1.6087,2,8,64,9,0.821429,1
11996,"OssPPNet2004_10_11996.net","PP",2004,10,179,5.556,30.864,1.22222,1.4938217284,0.786189,0.618093143721,1.36,2,9,81,10,0.694444,1
11996,"OssPPNet2004_11_11996.net","PP",2004,11,434,5.333,28.444,1.33333,1.7777688889,0.771429,0.595102702041,1.45833,2,9,81,11,0.666667,1
11996,"OssPPNet2004_12_11996.net","PP",2004,12,948,4,16,0,0,0.285714,0.081632489796,1.5625,1,8,64,12,0.571429,0.571429
11996,"OssPPNet2005_1_11996.net","PP",2005,1,584,4,16,0,0,0.285714,0.081632489796,1.5,1,8,64,1,0.571429,0.571429
11996,"OssPPNet2005_2_11996.net","PP",2005,2,113,4,16,0,0,0.285714,0.081632489796,1.375,1,8,64,2,0.571429,0.571429
11996,"OssPPNet2005_3_11996.net","PP",2005,3,81,3.143,9.878,0,0,0.285714,0.081632489796,2,1,7,49,3,0.52381,0.52381
11996,"OssPPNet2005_4_11996.net","PP",2005,4,1298,3.143,9.878,0,0,0.285714,0.081632489796,1.90909,1,7,49,4,0.52381,0.52381
11996,"OssPPNet2005_5_11996.net","PP",2005,5,495,3.143,9.878,0,0,0.285714,0.081632489796,1.36364,1,7,49,5,0.52381,0.52381
11996,"OssPPNet2005_6_11996.net","PP",2005,6,221,3.143,9.878,0,0,0.285714,0.081632489796,1.36364,1,7,49,6,0.52381,0.52381
11996,"OssPPNet2005_7_11996.net","PP",2005,7,771,4,16,0,0,1,1,1.3,1,5,25,7,1,1
11996,"OssPPNet2005_8_11996.net","PP",2005,8,40,4,16,0,0,1,1,1,1,5,25,8,1,1
11996,"OssPPNet2005_9_11996.net","PP",2005,9,78,4,16,0,0,1,1,1,1,5,25,9,1,1
11996,"OssPPNet2005_10_11996.net","PP",2005,10,54,2,4,0,0,1,1,1.33333,1,3,9,10,1,1
12155,"OssPPNet2003_1_12155.net","PP",2003,1,71,1,1,0.25,0.0625,0.401786,0.161431989796,1,2,4,16,1,0.333333,0.5
12155,"OssPPNet2004_1_12155.net","PP",2004,1,213,0.889,0.79,0,0,0.12478,0.0155700484,1,1,9,81,1,0.111111,0.111111
12155,"OssPPNet2004_2_12155.net","PP",2004,2,84,0.727,0.529,0,0,0.0980716,0.00961803872656,1,1,11,121,2,0.0727273,0.0727273
12155,"OssPPNet2004_3_12155.net","PP",2004,3,15,0.889,0.79,0,0,0.12478,0.0155700484,1,1,9,81,3,0.111111,0.111111
12155,"OssPPNet2004_4_12155.net","PP",2004,4,263,3.385,11.456,0,0,0.113412,0.012862281744,1,1,13,169,4,0.282051,0.282051
12155,"OssPPNet2004_5_12155.net","PP",2004,5,262,1.333,1.778,0,0,0.0951178,0.00904739587684,1,1,12,144,5,0.121212,0.121212
12155,"OssPPNet2004_6_12155.net","PP",2004,6,94,1.4,1.96,0,0,0.119365,0.014248003225,1,1,10,100,6,0.155556,0.155556
12155,"OssPPNet2004_7_12155.net","PP",2004,7,38,1.4,1.96,0,0,0.119365,0.014248003225,1,1,10,100,7,0.155556,0.155556
12155,"OssPPNet2004_8_12155.net","PP",2004,8,166,1.077,1.16,0.153846,0.023668591716,0.086998,0.007568652004,1,2,13,169,8,0.0897436,0.115385
12155,"OssPPNet2004_9_12155.net","PP",2004,9,70,1.4,1.96,0,0,0.119365,0.014248003225,1,1,10,100,9,0.155556,0.155556
12155,"OssPPNet2004_10_12155.net","PP",2004,10,18,1.5,2.25,0,0,0.1625,0.02640625,1,1,8,64,10,0.214286,0.214286
12155,"OssPPNet2004_11_12155.net","PP",2004,11,107,1.556,2.42,0,0,0.138889,0.019290154321,1,1,9,81,11,0.194444,0.194444
12155,"OssPPNet2004_12_12155.net","PP",2004,12,40,2,4,0,0,0.210884,0.044472061456,1,1,7,49,12,0.333333,0.333333
12155,"OssPPNet2005_1_12155.net","PP",2005,1,3,2,4,0,0,0.277778,0.077160617284,1,1,6,36,1,0.4,0.4
12155,"OssPPNet2005_2_12155.net","PP",2005,2,18,2,4,0,0,0.277778,0.077160617284,1,1,6,36,2,0.4,0.4
12155,"OssPPNet2005_3_12155.net","PP",2005,3,137,1.5,2.25,0,0,0.1625,0.02640625,1,1,8,64,3,0.214286,0.214286
12155,"OssPPNet2005_4_12155.net","PP",2005,4,82,1.75,3.062,0,0,0.166964,0.027876977296,1,1,8,64,4,0.25,0.25
12155,"OssPPNet2005_5_12155.net","PP",2005,5,11,0.8,0.64,0,0,0.24,0.0576,1,1,5,25,5,0.2,0.2
12491,"OssPPNet2005_1_12491.net","PP",2005,1,2175,3.25,10.562,1,1,0.395185,0.156171184225,4.69231,2,8,64,1,0.464286,0.75
12491,"OssPPNet2005_2_12491.net","PP",2005,2,282,1.714,2.939,0,0,0.204082,0.041649462724,5.16667,1,7,49,2,0.285714,0.285714
12491,"OssPPNet2005_3_12491.net","PP",2005,3,27,2,4,0.2,0.04,0.417778,0.174538457284,4.8,2,5,25,3,0.5,0.6
12491,"OssPPNet2005_4_12491.net","PP",2005,4,549,2.8,7.84,0.6,0.36,0.794286,0.630890249796,4.71429,2,5,25,4,0.7,1
12491,"OssPPNet2005_5_12491.net","PP",2005,5,671,3.667,13.444,0.666667,0.444444888889,0.814815,0.663923484225,4.18182,2,6,36,5,0.733333,1
12491,"OssPPNet2005_6_12491.net","PP",2005,6,460,2,4,1,1,0.695238,0.483355876644,5,2,5,25,6,0.5,1
12491,"OssPPNet2005_7_12491.net","PP",2005,7,624,2,4,1,1,0.695238,0.483355876644,3.8,2,5,25,7,0.5,1
12636,"OssPPNet2002_4_12636.net","PP",2002,4,187,8.727,76.165,0.636364,0.404959140496,0.904716,0.818511040656,2.27083,2,11,121,4,0.872727,1
12636,"OssPPNet2002_5_12636.net","PP",2002,5,607,12.714,161.653,0.142857,0.020408122449,0.980272,0.960933193984,4.34831,2,14,196,5,0.978022,1
12636,"OssPPNet2002_6_12636.net","PP",2002,6,293,11,121,1,1,0.883168,0.779985716224,3.53247,2,14,196,6,0.846154,1
12636,"OssPPNet2002_7_12636.net","PP",2002,7,349,8.727,76.165,0.636364,0.404959140496,0.899328,0.808790851584,5.97917,2,11,121,7,0.872727,1
12643,"OssPPNet2002_11_12643.net","PP",2002,11,386,1.333,1.778,0.333333,0.111110888889,0.777778,0.604938617284,1.5,2,3,9,11,0.666667,1
12643,"OssPPNet2002_12_12643.net","PP",2002,12,178,2,4,0.5,0.25,0.775,0.600625,1.5,2,4,16,12,0.666667,1
12643,"OssPPNet2003_1_12643.net","PP",2003,1,371,2.5,6.25,0.25,0.0625,0.875,0.765625,2.6,2,4,16,1,0.833333,1
12643,"OssPPNet2003_2_12643.net","PP",2003,2,361,2,4,0.5,0.25,0.775,0.600625,1.5,2,4,16,2,0.666667,1
