"pid","filename.x","type.x","year","month","commits.x","mdegree.x","mdegree2.x","mbetween.x","mbetween2.x","mclose.x","mclose2.x","mweight.x","diameter.x","networksize.x","networksize2.x","age.x","density.x","connect.x","filename.y","type.y","commits.y","mdegree.y","mdegree2.y","mbetween.y","mbetween2.y","mclose.y","mclose2.y","mweight.y","diameter.y","networksize.y","networksize2.y","age.y","density.y","connect.y"
12643,"OssMMNet2002_12_12643.net","MM",2002,12,178,1,1,0,0,0.208333,0.043402638889,2,1,6,36,1,0.2,0.2,"OssPPNet2002_12_12643.net","PP",178,2,4,0.5,0.25,0.775,0.600625,1.5,2,4,16,12,0.666667,1
12643,"OssMMNet2003_1_12643.net","MM",2003,1,371,2.857,8.163,0,0,0.278912,0.077791903744,2.3,1,7,49,2,0.47619,0.47619,"OssPPNet2003_1_12643.net","PP",371,2.5,6.25,0.25,0.0625,0.875,0.765625,2.6,2,4,16,1,0.833333,1
12643,"OssMMNet2003_2_12643.net","MM",2003,2,361,0.6,0.36,0,0,0.1075,0.01155625,2,1,10,100,3,0.0666667,0.0666667,"OssPPNet2003_2_12643.net","PP",361,2,4,0.5,0.25,0.775,0.600625,1.5,2,4,16,2,0.666667,1
12643,"OssMMNet2003_3_12643.net","MM",2003,3,530,0.545,0.298,0,0,0.0964187,0.00929656570969,2,1,11,121,4,0.0545455,0.0545455,"OssPPNet2003_3_12643.net","PP",530,2,4,0.5,0.25,0.775,0.600625,1.5,2,4,16,3,0.666667,1
12643,"OssMMNet2003_7_12643.net","MM",2003,7,662,1.231,1.515,0.230769,0.053254331361,0.0905923,0.00820696481929,2.125,2,13,169,5,0.102564,0.141026,"OssPPNet2003_7_12643.net","PP",662,2.667,7.111,1.16667,1.3611188889,0.705688,0.497995553344,1.875,2,6,36,7,0.533333,1
12643,"OssMMNet2003_8_12643.net","MM",2003,8,258,0.769,0.592,0.384615,0.147928698225,0.0892995,0.00797440070025,2,2,13,169,6,0.0641026,0.128205,"OssPPNet2003_8_12643.net","PP",258,2.4,5.76,0.8,0.64,0.740952,0.549009866304,1.66667,2,5,25,8,0.6,1
12643,"OssMMNet2003_9_12643.net","MM",2003,9,187,0.462,0.213,0,0,0.0801506,0.00642411868036,2,1,13,169,7,0.0384615,0.0384615,"OssPPNet2003_9_12643.net","PP",187,2.333,5.444,1.33333,1.7777688889,0.675926,0.456875957476,1.28571,2,6,36,9,0.466667,1
12643,"OssMMNet2003_10_12643.net","MM",2003,10,106,0.857,0.735,0.357143,0.127551122449,0.0810947,0.00657635036809,2.16667,3,14,196,8,0.0659341,0.10989,"OssPPNet2003_10_12643.net","PP",106,4.222,17.827,1.88889,3.5679054321,0.69839,0.4877485921,1.31579,2,9,81,10,0.527778,1
12643,"OssMMNet2003_11_12643.net","MM",2003,11,552,0.625,0.391,0.0625,0.00390625,0.0658059,0.00433041647481,2,2,16,256,9,0.0416667,0.05,"OssPPNet2003_11_12643.net","PP",552,2.667,7.111,1.16667,1.3611188889,0.702381,0.493339069161,1.5,2,6,36,11,0.533333,1
12643,"OssMMNet2003_12_12643.net","MM",2003,12,284,0.875,0.766,0.625,0.390625,0.0724813,0.00525353884969,2,3,16,256,10,0.0583333,0.125,"OssPPNet2003_12_12643.net","PP",284,3,9,1,1,0.737103,0.543320832609,1.55556,2,6,36,12,0.6,1
