"pid","type","year","month","commits","mdegree","mdegree2","mbetween","mbetween2","mclose","mclose2","mweight","diameter","networksize","networksize2","age","density","connect"
24841,"MM",2000,12,1965,0.4,0.16,0.714286,0.510204489796,0.4,0.16,3.7,2,7,49,12,0.47619,0.714286
24841,"MM",2001,1,1158,0.4,0.16,0.714286,0.510204489796,0.4,0.16,3.8,2,7,49,1,0.47619,0.714286
24841,"MM",2001,2,2173,0.266757,0.071159297049,0.5,0.25,0.266757,0.071159297049,3.90909,2,8,64,2,0.392857,0.535714
24841,"MM",2001,3,1594,0.267173,0.071381411929,0.666667,0.444444888889,0.267173,0.071381411929,2.73333,2,9,81,3,0.416667,0.583333
24841,"MM",2001,4,1404,0.203125,0.041259765625,0,0,0.203125,0.041259765625,3.2,1,8,64,4,0.357143,0.357143
24841,"MM",2001,5,2610,0.203704,0.041495319616,0,0,0.203704,0.041495319616,2.8,1,9,81,5,0.416667,0.416667
24841,"MM",2001,6,715,0.267008,0.071293272064,0.5,0.25,0.267008,0.071293272064,2.54545,2,8,64,6,0.392857,0.535714
24841,"MM",2001,7,797,0.204365,0.041765053225,0.166667,0.027777888889,0.204365,0.041765053225,2.5,2,6,36,7,0.133333,0.2
24841,"MM",2001,8,1201,0.269744,0.072761825536,0.2,0.04,0.269744,0.072761825536,2,2,5,25,8,0.2,0.3
24841,"MM",2001,9,919,0.269744,0.072761825536,0.2,0.04,0.269744,0.072761825536,2,2,5,25,9,0.2,0.3
24841,"MM",2001,10,1055,0.269744,0.072761825536,0.2,0.04,0.269744,0.072761825536,2,2,5,25,10,0.2,0.3
24841,"MM",2001,11,854,0.264297,0.069852904209,0.333333,0.111110888889,0.264297,0.069852904209,2,2,6,36,11,0.266667,0.4
24841,"MM",2001,12,1293,0.208333,0.043402638889,0,0,0.208333,0.043402638889,2.33333,1,6,36,12,0.2,0.2
24855,"MM",2001,5,1362,0.4375,0.19140625,0,0,0.4375,0.19140625,2.33333,1,4,16,5,0.5,0.5
24855,"MM",2001,6,413,0.4375,0.19140625,0,0,0.4375,0.19140625,3,1,4,16,6,0.5,0.5
24855,"MM",2001,7,728,0.44,0.1936,0,0,0.44,0.1936,2.33333,1,5,25,7,0.6,0.6
24855,"MM",2001,8,1504,0.44,0.1936,0,0,0.44,0.1936,2.33333,1,5,25,8,0.6,0.6
24855,"MM",2001,9,1450,0.44,0.1936,0,0,0.44,0.1936,2.5,1,5,25,9,0.6,0.6
24855,"MM",2001,10,826,0.44,0.1936,0,0,0.44,0.1936,2.5,1,5,25,10,0.6,0.6
24855,"MM",2001,11,2264,0.44,0.1936,0,0,0.44,0.1936,2.66667,1,5,25,11,0.6,0.6
24855,"MM",2001,12,826,0.277778,0.077160617284,0,0,0.277778,0.077160617284,2.33333,1,6,36,12,0.4,0.4
24855,"MM",2002,1,1737,0.444444,0.197530469136,0,0,0.444444,0.197530469136,2.4,1,6,36,1,0.666667,0.666667
24855,"MM",2002,2,331,0.444444,0.197530469136,0,0,0.444444,0.197530469136,2.7,1,6,36,2,0.666667,0.666667
24855,"MM",2002,3,854,0.278912,0.077791903744,0,0,0.278912,0.077791903744,2.2,1,7,49,3,0.47619,0.47619
24855,"MM",2002,4,760,0.203125,0.041259765625,0,0,0.203125,0.041259765625,2.1,1,8,64,4,0.357143,0.357143
24855,"MM",2002,5,563,0.278912,0.077791903744,0,0,0.278912,0.077791903744,2.1,1,7,49,5,0.47619,0.47619
24855,"MM",2002,6,478,0.278912,0.077791903744,0,0,0.278912,0.077791903744,2.1,1,7,49,6,0.47619,0.47619
24855,"MM",2002,7,684,0.196868,0.038757009424,0.375,0.140625,0.196868,0.038757009424,2.14286,2,8,64,7,0.25,0.357143
24855,"MM",2002,8,496,0.1625,0.02640625,0,0,0.1625,0.02640625,2.16667,1,8,64,8,0.214286,0.214286
24855,"MM",2002,9,209,0.140625,0.019775390625,0,0,0.140625,0.019775390625,2,1,8,64,9,0.107143,0.107143
24855,"MM",2002,10,149,0.140625,0.019775390625,0,0,0.140625,0.019775390625,2,1,8,64,10,0.107143,0.107143
24855,"MM",2002,11,401,0.140625,0.019775390625,0,0,0.140625,0.019775390625,2.66667,1,8,64,11,0.107143,0.107143
24855,"MM",2002,12,641,0.270833,0.073350513889,0.166667,0.027777888889,0.270833,0.073350513889,2.2,2,6,36,12,0.333333,0.4
24855,"MM",2003,1,826,0.208333,0.043402638889,0,0,0.208333,0.043402638889,2.66667,1,6,36,1,0.2,0.2
24855,"MM",2003,2,873,0.208333,0.043402638889,0,0,0.208333,0.043402638889,2.33333,1,6,36,2,0.2,0.2
24855,"MM",2003,3,652,0.28,0.0784,0,0,0.28,0.0784,2.33333,1,5,25,3,0.3,0.3
24855,"MM",2003,4,1223,0.208333,0.043402638889,0,0,0.208333,0.043402638889,2.33333,1,6,36,4,0.2,0.2
24855,"MM",2003,5,954,0.208333,0.043402638889,0,0,0.208333,0.043402638889,2.33333,1,6,36,5,0.2,0.2
24855,"MM",2003,6,43,0.208333,0.043402638889,0,0,0.208333,0.043402638889,2.33333,1,6,36,6,0.2,0.2
24855,"MM",2003,7,436,0.277778,0.077160617284,0,0,0.277778,0.077160617284,2.33333,1,6,36,7,0.4,0.4
24855,"MM",2003,8,223,0.208333,0.043402638889,0,0,0.208333,0.043402638889,2.33333,1,6,36,8,0.2,0.2
24855,"MM",2003,9,499,0.208333,0.043402638889,0,0,0.208333,0.043402638889,2.33333,1,6,36,9,0.2,0.2
24855,"MM",2003,10,608,0.208333,0.043402638889,0,0,0.208333,0.043402638889,2.33333,1,6,36,10,0.2,0.2
24855,"MM",2003,11,2084,0.208333,0.043402638889,0,0,0.208333,0.043402638889,2.33333,1,6,36,11,0.2,0.2
24855,"MM",2003,12,853,0.208333,0.043402638889,0,0,0.208333,0.043402638889,2.33333,1,6,36,12,0.2,0.2
24855,"MM",2004,1,305,0.208333,0.043402638889,0,0,0.208333,0.043402638889,2,1,6,36,1,0.2,0.2
